"Player","Handle","Followers","Team","Salary"
"Jason Zucker","Jason_Zucker16",37782,"MIN",2e+06
"Jakub Voracek","jachobe",89885,"PHI",1e+07
"Mattias Ekholm","MatEkh14",6718,"NSH",3e+06
"Tomas Tatar","Trto90",110294,"DET",2750000
"Craig Anderson","CraigAnderson41",65814,"OTT",4750000
"Adam Lowry","ALowsyPlayer17",14071,"WPG",1e+06
"Trevor Lewis","trevorlewis22",28117,"LAK",2e+06
"Brayden McNabb","nabber03",19457,"LAK",1600000
"Anthony Mantha","antomantha8",13587,"DET",832500
"Viktor Stalberg","VStalberg",82995,"OTT",1500000
"Ryan Nugent-Hopkins","RNH_93",218207,"EDM",6e+06
"Jake Allen","34jallen",52823,"STL",2500000
"Evgeni Malkin","malkin71_",1517956,"PIT",9500000
"Christian Folin","ChristianFolin",6339,"MIN",850000
"Cedric Paquette","Paquette18",8641,"TBL",8e+05
"Kevin Bieksa","kbieksa3",214788,"ANA",4e+06
"Tomas Hertl","TomasHertl48",74980,"SJS",2800000
"John Mitchell","mitchabov",19717,"COL",1900000
"Gustav Nyquist","GNyquist",49793,"DET",4250000
"Nazem Kadri","43_Kadri",204767,"TOR",5e+06
"Jean-Gabriel Pageau","JGPageau",35167,"OTT",1100000
"Michael Hutchinson","mhutch34",12436,"WPG",1e+06
"Connor Carrick","connorcarrick",19364,"TOR",650000
"Alec Martinez","amartinez_27",37817,"LAK",3900000
"John Gibson","JohnGibson35",18216,"ANA",1500000
"Jason Garrison","J_G_5",41110,"TBL",3600000
"Ryan Johansen","RyanJohansen19",47661,"NSH",6e+06
"Cody Ceci","Cecer_83",29824,"OTT",2250000
"Marc Savard","MSavvy91",51212,"NJD",575000
"Alex Galchenyuk","AGally94",211209,"MTL",3100000
"Harry Zolnierczyk","HarryZ87",24356,"NSH",575000
"Vincent Trocheck","trocheck_89",5822,"FLA",3750000
"Kevin Shattenkirk","shattdeuces",124245,"WSH",3542500
"Justin Faulk","JustinFaulk27",30159,"CAR",5500000
"Jamie Oleksiak","jamieoleksiak",12687,"DAL",918750
"Sean Monahan","Monahan20",37567,"CGY",6500000
"Jacob Markstrom","j_markstrom",33784,"VAN",1600000
"Mark Stone","MStoner61",33410,"OTT",3750000
"Andrew Ladd","aladd16",105349,"NYI",8e+06
"Mikael Backlund","mbacklund11",35109,"CGY",3575000
"Victor Rask","VictorRask",6541,"CAR",4e+06
"Morgan Rielly","mriles4",92126,"TOR",5e+06
"Brent Burns","Burnzie88",179313,"SJS",5760000
"Patrick Kane","88PKane",827838,"CHI",13800000
"David Backes","dbackes42",129989,"BOS",8e+06
"Mika Zibanejad","MikaZibanejad",54701,"NYR",3250000
"Dominic Moore","mooredom",54287,"BOS",9e+05
"Victor Hedman","heds77",53641,"TBL",4250000
"Andreas Athanasiou","AndreasA86",12201,"DET",575000
